,X,Y,Z,Roll,Pitch,Yaw
132,4.2083,-2.43074,20.5504,8.96179,1.67235,-3.04433
133,4.2038,-2.71523,20.4961,8.86725,1.73808,-3.14837
134,3.67834,-3.13279,20.4304,8.79874,1.93533,-3.05915
135,3.40316,-3.28637,20.2946,8.69048,2.30152,-3.75018
136,3.27839,-3.38988,20.1158,8.57823,2.38335,-3.40015
137,3.01607,-3.46503,20.1989,8.65867,1.54535,0.702974
138,3.40476,-2.93405,20.3774,8.89754,0.991862,2.77982
139,3.51204,-2.79248,20.4524,9.01887,0.859835,3.31503
140,4.15825,-2.63922,20.3954,9.10954,-0.0557903,5.28337
141,4.54347,-2.76928,20.1099,9.21898,0.102787,3.677
142,4.72411,-2.66423,20.2759,9.53781,-0.0781821,3.67388
143,5.06266,-2.6279,20.0873,9.56969,-0.257304,3.32606
144,5.06826,-2.66487,19.9189,9.66965,-0.267981,3.19083
145,4.70143,-2.51808,20.3397,9.69859,-1.23483,7.93782
146,4.86809,-2.20939,20.3803,9.63337,-1.3535,8.85982
147,4.44594,-1.94796,20.6946,9.73506,-1.74775,12.2204
148,4.6837,-1.81597,20.8597,9.85579,-1.22991,10.7096
149,4.9234,-1.43459,20.6475,10.1017,-1.06106,10.3392
150,4.90868,-1.52917,20.4409,10.1959,-1.23789,10.9865
151,5.11812,-1.56177,20.3289,10.3668,-1.07241,10.2802
152,4.95879,-1.4545,20.4066,10.4656,-0.932868,10.0075
153,4.95821,-1.47052,20.7307,10.5618,-1.01771,10.273
154,5.16867,-1.62195,20.5289,10.4782,-1.34776,11.4949
155,5.35694,-1.6818,20.6576,10.5611,-0.981234,9.96534
156,5.17757,-1.69015,20.81,10.6709,-0.721363,9.23368
157,5.17179,-1.78163,20.589,10.5495,-0.878052,9.63729
158,4.95326,-1.89868,20.5581,10.5911,-1.10325,10.3812
159,4.89771,-2.42695,20.4148,10.86,-1.60379,12.2555
160,5.09494,-2.55895,20.1432,11.0471,-1.39931,10.8771
161,4.86747,-2.80415,20.3662,11.187,-1.97943,12.316
162,4.79225,-2.65851,20.4825,11.4522,-1.76606,10.1923
163,4.65658,-2.64431,20.4487,11.5451,-2.31346,11.1606
164,4.61839,-2.55308,20.3968,11.4436,-2.68644,12.6841
165,4.56337,-2.75607,20.5686,11.4816,-2.41426,13.7668
166,4.96917,-2.60649,21.0288,11.7103,-2.28389,14.1797
167,5.252,-2.66538,21.0834,11.6482,-1.94528,14.071
168,5.24075,-2.98063,21.5642,11.6679,-1.97774,15.3263
169,5.24599,-2.98479,22.109,11.8254,-1.86711,15.3194
170,5.4346,-2.97497,22.4538,11.7727,-2.30131,16.9937
171,5.57774,-3.25497,23.0252,11.8237,-2.44789,17.7813
172,5.64885,-3.27561,23.6895,11.99,-3.02094,19.6514
173,5.6979,-3.26608,24.3021,12.2665,-2.57919,18.2739
174,5.68091,-3.78188,26.0273,12.7902,-2.155,17.12
175,5.849,-4.36612,26.8283,12.9526,-2.69916,18.8048
176,6.11346,-4.59008,27.2608,13.1291,-2.42699,18.0129
177,6.29348,-5.05972,27.4219,13.2914,-1.68175,16.2969
178,6.37567,-5.21748,27.8994,13.5383,-1.44739,16.1135
179,6.32865,-5.12009,28.4166,13.8165,-0.842103,14.8257
180,6.3936,-5.03029,28.7645,13.9584,-1.36806,16.3732
181,6.4578,-4.92898,29.4665,14.1384,-2.1005,18.4521
182,6.5351,-5.23917,29.942,14.3006,-1.26913,16.1581
183,6.86065,-5.36507,30.6308,14.459,-1.80319,17.079
184,6.99319,-5.60182,31.4459,14.5926,-1.15796,15.0352
185,7.31898,-5.96134,31.4881,14.4724,-0.921983,14.1094
186,7.13731,-6.07092,31.9355,14.5301,-0.659235,13.6368
187,7.1528,-6.15424,32.4573,14.5906,0.32482,11.1778
188,7.24204,-6.20113,31.9931,14.5237,-0.310536,13.3704
189,7.23805,-6.12378,32.0053,14.6296,-0.50188,14.0491
190,7.39737,-5.90093,31.6556,14.5529,-1.65877,17.2429
191,7.58732,-5.62695,32.022,14.7067,-2.31763,18.8464
192,7.50536,-5.75241,32.1604,14.7966,-2.39482,19.1656
193,7.47536,-5.7792,32.4173,14.9605,-2.18912,18.8107
194,7.49359,-5.94824,32.2414,14.8803,-1.79486,17.9618
195,7.43233,-6.01679,32.2543,14.8823,-2.05875,18.9075
196,7.30758,-6.07785,32.2142,14.8911,-1.83621,18.8397
197,7.17932,-5.98546,32.4454,15.0197,-0.971982,16.9223
198,7.06599,-5.9413,32.2324,14.9464,-1.1519,17.598
199,7.17739,-5.87547,32.2541,14.9053,-1.36535,18.2313
200,6.95178,-6.0375,32.5435,15.0023,-0.704882,16.7119
201,7.17776,-6.10671,32.6552,14.9529,-1.7906,19.3699
202,7.45938,-6.05714,33.0812,14.9792,-2.27792,20.4363
203,7.11652,-6.53765,34.0211,15.2386,-0.392563,16.2145
204,7.18684,-6.94262,34.3715,15.0796,1.52956,11.3105
205,7.18911,-7.19513,34.4712,15.0703,1.4335,11.6058
206,7.44375,-7.40397,34.804,15.0514,1.36435,11.4976
207,7.4859,-7.84875,35.0131,14.9355,1.44763,11.3697
208,7.83668,-7.84312,35.0416,14.9118,0.360891,14.0442
209,7.59883,-7.586,36.2179,15.1476,-1.18372,18.3904
210,7.49174,-7.90979,36.5048,15.082,-1.4453,19.4473
211,7.51898,-7.59322,37.1983,15.2836,-1.29036,18.9703
212,7.97834,-8.05212,37.8428,15.2629,-1.99465,20.3845
213,8.08035,-8.38084,38.4289,15.3115,-2.39527,21.3414
214,8.10662,-8.84507,39.0384,15.4058,-1.34151,18.7092
215,8.51689,-8.70775,39.5177,15.5213,-1.32976,18.2387
216,8.69766,-8.63626,40.2878,15.6434,-0.674023,16.4704
217,8.5624,-9.28721,42.003,15.9284,0.163639,14.8887
218,8.60477,-9.38786,42.452,15.8864,0.111518,15.1234
219,8.21687,-10.1137,43.1911,15.9106,-0.329485,16.8167
220,8.22551,-10.0719,44.0052,16.1167,-0.667122,17.7902
221,8.24489,-10.1718,44.5281,16.2237,-0.240209,16.8514
222,8.38611,-10.3982,44.641,16.1856,-0.949752,18.6946
223,8.40488,-10.3298,45.1442,16.386,-0.800783,18.6387
224,8.52593,-10.0999,45.6234,16.6965,0.175799,16.4207
225,9.06886,-10.4434,45.1636,16.4983,-0.0755676,16.9244
226,9.3727,-10.7772,45.2164,16.7085,-0.175264,17.4536
227,9.38917,-11.0578,45.2735,16.8972,0.588539,15.9937
228,9.30409,-11.1618,45.2114,16.8826,0.997138,15.2618
229,9.27336,-10.8397,45.4023,17.0653,0.702366,15.9933
230,9.06969,-10.9354,45.2306,17.0511,0.0993953,17.6188
231,9.27673,-10.9686,44.9463,16.932,0.289352,17.0917
232,9.62174,-10.9043,44.6431,16.7549,0.197301,16.9604
233,9.55881,-11.2463,44.9472,16.8023,0.00299175,17.49
234,9.48716,-11.1899,45.4876,16.9145,0.70678,15.8145
235,9.6661,-11.3409,45.4866,16.7638,0.814535,15.3249
236,9.90602,-11.629,46.1423,16.818,0.530427,15.6463
237,9.8357,-11.7351,47.1055,17.0115,0.493696,15.6379
238,10.0108,-12.1821,48.3732,17.1193,0.635097,14.9418
239,10.1466,-12.4323,49.1832,17.2515,-0.342711,17.0621
240,10.0503,-12.6738,49.985,17.3355,-2.0455,21.106
241,9.83399,-12.4776,50.4556,17.5899,-1.05927,18.9697
242,9.83406,-12.3011,50.8165,17.6891,-2.23376,21.5965
243,9.97664,-12.1575,51.2538,17.7927,-2.77649,22.5672
244,9.95196,-12.3402,51.7277,18.0268,-1.71519,20.0513
245,10.1436,-12.3861,51.9754,18.0475,-1.76181,19.9571
246,10.0404,-13.3679,52.2681,17.9946,-1.06622,18.4428
247,9.77677,-13.7753,52.4782,17.9483,-0.453486,17.3627
248,9.69526,-13.8964,52.6234,17.9506,-0.445211,17.3551
249,9.63543,-13.9804,53.0125,18.0335,-0.499738,17.5207
250,9.58623,-13.8841,53.4228,18.2054,-0.423535,17.3897
251,9.7594,-13.6462,53.8013,18.3896,-0.411222,17.0741
252,9.9431,-13.9349,53.7185,18.2858,-0.308991,16.7496
253,9.976,-14.0806,53.9063,18.3441,-0.778364,17.6911
254,9.95567,-14.1389,54.2442,18.4593,-0.757647,17.5919
255,9.85225,-14.6289,54.4992,18.4402,-0.829407,17.8477
256,9.90918,-14.6031,54.8016,18.5249,-1.54869,19.2787
257,9.93546,-14.6719,55.3351,18.6685,-1.62352,19.3322
258,10.118,-14.5258,55.7091,18.8644,-0.675562,17.0192
259,10.4669,-14.3688,56.1086,18.9456,-1.62939,18.6236
260,10.5378,-14.5573,56.3347,19.0237,-0.762035,16.6967
261,10.7274,-15.0631,56.7933,19.0237,-0.741938,16.6219
262,10.81,-15.4894,57.0302,18.9803,-0.215223,15.568
263,10.8717,-15.6466,57.3339,19.0242,-1.18512,17.668
264,10.9531,-15.6507,57.919,19.1474,-2.07474,19.5187
265,11.005,-15.6051,58.1428,19.2299,-1.91097,19.1848
266,10.789,-15.7347,58.4374,19.2618,-2.8384,21.5429
267,10.8516,-15.6887,58.7323,19.3927,-2.62886,21.0405
268,10.8794,-15.7282,59.0823,19.4793,-2.27909,20.3411
269,10.9647,-15.9443,59.1221,19.2741,-3.20815,22.339
270,11.2018,-15.757,59.4519,19.3481,-3.53873,22.757
271,11.2162,-15.9483,59.8626,19.4874,-2.78399,21.2356
272,11.3868,-15.9095,59.997,19.6037,-2.51809,20.6701
273,11.4434,-15.8635,60.014,19.6885,-2.32047,20.2609
274,11.2228,-16.1451,59.9915,19.7767,-1.09353,18.1041
275,11.0537,-16.1545,59.7382,19.7659,-0.355148,16.9707
276,11.1308,-16.4304,59.4321,19.6295,-0.446615,17.2872
277,11.3449,-16.1948,59.5292,19.8682,-0.988458,18.4144
278,11.6654,-16.3029,59.2448,19.7533,-1.43915,19.3238
279,11.9648,-16.3251,59.0654,19.8153,-1.53871,19.5319
280,12.0244,-16.3537,59.0695,19.8397,-2.05292,20.6279
281,12.2765,-16.4291,58.908,19.7686,-1.62551,19.5099
282,12.2129,-16.3482,59.1287,19.9023,-1.11669,18.3716
283,12.2439,-16.68,59.3183,19.8069,-1.18648,18.3374
284,12.1391,-16.9124,59.8402,19.8199,-1.02973,17.7955
285,12.0177,-17.2646,60.3979,19.8131,-0.414166,16.4208
286,12.3726,-17.1556,61.0121,19.7962,-0.879199,16.7928
287,12.5203,-17.3173,61.9387,19.8195,-1.15663,16.9095
288,12.4337,-17.1538,62.8153,20.0486,-1.70161,18.0497
289,12.6724,-17.3483,63.5126,19.9525,-3.07345,20.8214
290,12.6867,-17.408,63.6488,19.8834,-4.07987,23.1312
291,12.8932,-17.3849,63.8528,20.0684,-3.29887,21.434
292,12.9542,-17.1825,64.0111,20.3032,-2.3146,19.5117
293,13.2112,-17.1177,64.2193,20.4345,-1.90155,18.6279
294,12.9632,-17.3273,64.2458,20.5093,-0.998817,17.2196
295,12.8397,-17.4821,64.3182,20.7242,-1.00385,17.504
296,12.5673,-17.9954,64.7221,22.1769,-2.48183,21.5849
297,13.8087,-17.5139,64.8983,23.0357,-4.82071,24.6544
298,13.6455,-18.5362,65.0879,24.7435,-4.05371,23.8012
299,12.5254,-18.5969,65.0006,25.436,1.63205,15.4874
300,12.1723,-18.5897,65.335,24.6986,4.30446,12.1555
301,13.3721,-18.3757,64.8677,25.1167,-0.31048,17.8475
302,13.5451,-18.4283,64.949,25.4099,-1.26354,19.3597
303,13.5062,-18.4617,64.935,25.4072,-1.19791,19.2827
304,13.2872,-18.563,64.8975,25.4511,-0.00818743,17.5551
305,13.2096,-18.3881,65.0542,25.5756,-0.317836,18.0836
306,13.3443,-18.536,64.8898,25.5419,-0.0386048,17.4964
307,13.5385,-18.3729,64.9717,25.6577,-0.136004,17.1897
308,13.4133,-18.6092,64.8447,25.5464,1.27968,14.591
309,13.6476,-18.5784,64.6338,25.4359,0.00869946,15.6429
310,13.6294,-18.3354,64.5916,25.3502,0.343091,14.0059
311,13.5856,-18.4631,64.3822,25.1544,0.500743,13.1213
312,13.5356,-18.2761,64.5503,25.2072,-0.717567,14.5772
313,13.4753,-18.2689,64.5353,25.1146,0.69636,11.6223
314,13.5123,-18.1479,64.6186,25.127,1.33823,10.1246
315,13.3893,-18.2768,64.6283,25.0263,2.07438,8.63735
316,13.7977,-18.1501,64.3529,24.7693,2.3494,7.23855
317,13.6495,-18.1289,64.1601,24.5361,2.76906,5.90903
318,13.3414,-18.2343,63.8541,23.9887,4.38584,2.11845
319,13.2364,-18.178,63.9455,24.0256,3.94245,2.5574
320,13.3627,-18.3914,63.9527,23.8648,3.93367,1.76696
321,13.4462,-18.2056,64.0912,23.8907,4.01632,1.04698
322,13.4696,-18.2719,64.183,23.6512,4.84856,-1.21076
323,13.5118,-18.3821,64.3323,22.9758,7.33719,-6.6479
324,13.6651,-18.4208,64.3112,22.7814,7.78219,-8.15482
325,13.5341,-18.7227,64.1841,22.474,8.17999,-9.33816
326,13.6454,-18.6155,64.1659,22.2366,8.59075,-10.8933
327,13.3672,-18.7445,63.9819,22.0769,8.51721,-10.8833
328,13.3253,-18.8245,63.7266,22.4116,6.48228,-7.46355
329,13.2805,-18.6641,63.8394,22.5823,5.72156,-6.20184
330,13.1197,-18.7193,63.6759,22.5251,5.08189,-5.26112
331,13.4985,-18.5025,63.6325,22.6359,4.3898,-4.52957
332,13.6372,-18.424,63.5731,22.3613,5.40832,-6.797
333,13.7464,-18.3769,63.6013,21.9171,7.40944,-10.83
334,13.4628,-18.2475,63.6942,21.7052,8.42365,-12.5339
335,13.2591,-18.397,63.6117,21.7341,8.1571,-11.9163
336,13.1488,-18.318,63.6656,21.8017,8.03813,-11.593
337,12.8713,-18.3797,63.6398,21.9594,7.12458,-9.85632
338,13.0211,-18.3717,63.4642,22.2545,5.16849,-6.47884
339,12.9963,-18.1717,63.64,22.4741,4.4654,-5.17744
340,12.9871,-18.2008,63.6637,22.3033,5.17131,-6.57014
341,13.2695,-18.0923,63.6313,22.224,5.65134,-7.75583
342,13.3567,-18.3298,63.6598,21.9241,6.97594,-10.3413
343,13.3355,-18.5133,63.6487,21.1587,9.25266,-15.0612
344,13.3246,-18.7274,63.5806,20.626,10.0884,-17.0768
345,13.1808,-19.0622,63.4496,20.3352,10.0919,-17.2052
346,12.8879,-19.2186,63.5121,20.8004,8.23639,-13.02
347,12.8475,-18.7948,63.9552,21.5333,6.28003,-8.48311
348,12.9232,-18.6246,63.961,21.8237,5.22051,-6.2072
349,13.3895,-18.2388,64.0287,21.9464,4.64525,-5.57738
350,13.6521,-18.1568,64.0478,21.7284,5.28925,-7.18442
351,13.632,-18.3605,63.9898,21.2934,5.74602,-8.33702
352,13.7788,-18.372,64.1991,20.8206,6.43457,-10.221
353,13.8007,-18.3178,64.4043,20.6704,6.3478,-10.2903
354,13.4136,-18.7302,64.222,20.0945,6.94917,-11.2798
355,13.3267,-18.817,64.3358,20.5094,5.5653,-7.94479
356,13.054,-18.6659,64.7207,20.8458,5.45134,-6.45736
357,12.8322,-18.6092,64.7936,21.0103,5.50948,-5.61788
358,13.0845,-18.3031,65.3843,21.7982,4.35072,-2.43788
359,12.9397,-18.4305,65.475,21.9242,4.19728,-1.6401
360,13.1215,-18.3832,65.4501,22.1607,2.88815,0.955415
361,13.3019,-18.4415,65.3561,22.1592,2.08364,2.34773
362,13.4059,-18.9459,65.5191,22.0167,3.13538,0.340033
363,13.4805,-18.885,65.8269,21.9094,4.55796,-2.32069
364,13.439,-18.8718,66.0175,21.7757,5.30051,-3.68478
365,13.4208,-18.9258,66.1011,21.8537,5.40852,-3.85549
366,13.3578,-19.1358,66.0696,21.9884,5.59821,-4.17903
367,13.6385,-19.2304,66.0506,22.3351,5.23242,-3.81193
368,13.983,-19.3357,65.8278,22.7818,5.22755,-4.31838
369,14.1858,-19.4654,65.7982,23.03,5.49693,-5.20441
370,14.2265,-19.5225,65.7574,23.0982,6.14462,-6.70107
371,14.4009,-19.551,65.6366,23.062,7.16592,-9.03943
372,14.4158,-19.5717,65.6998,22.9949,7.97416,-10.8698
373,14.2138,-19.7106,65.7472,23.1699,7.58904,-10.1894
374,14.2609,-19.7461,65.6803,23.2864,7.41299,-10.2877
375,14.4064,-19.6758,65.5691,23.3967,7.34308,-10.5451
376,14.7189,-19.7421,65.1339,23.8365,6.1767,-9.29355
377,14.7571,-19.4661,65.2392,23.9952,6.57586,-10.146
378,14.5832,-19.6885,64.955,24.0911,6.36822,-9.80281
379,14.4878,-19.5779,65.0662,24.3475,6.48344,-9.88932
380,14.3001,-19.2104,65.2096,24.5292,7.18383,-10.9026
381,14.2415,-18.9765,65.3418,24.6946,7.75981,-11.8512
382,14.1481,-18.7396,65.6302,25.1197,7.6975,-11.5441
383,14.157,-18.7244,65.8125,25.6865,6.74261,-9.85723
384,13.9945,-18.9567,65.7666,25.65,7.33658,-10.7623
385,14.2051,-19.0428,65.4397,25.7791,6.91266,-10.3535
386,14.3695,-19.2897,65.0965,25.6781,6.81765,-10.457
387,14.4315,-19.3669,64.9403,25.5094,7.59287,-12.0157
388,14.2924,-19.1525,65.0602,25.4023,8.53991,-13.4333
389,13.7915,-19.1419,65.4024,25.6498,14.1786,-18.6128
390,13.9008,-18.6831,66.397,28.984,6.43344,-3.51796
391,12.0036,-19.4637,66.3616,29.5423,9.9814,-3.91361
392,12.9364,-19.2187,65.5644,29.5294,4.30763,2.58589
393,13.1077,-19.1849,65.568,29.9309,3.88559,4.10249
394,13.2616,-19.0869,65.5097,30.2695,2.01539,7.46229
395,13.6432,-18.687,65.6329,30.7282,1.62561,8.96392
396,13.6998,-18.1248,66.0522,31.3394,1.77029,9.70863
397,13.6003,-18.0712,66.4804,31.6912,2.23796,9.68191
398,13.3818,-18.0837,66.8709,31.8415,4.48931,7.51179
399,13.5666,-18.3015,66.6782,31.8548,4.22181,7.98864
400,13.653,-18.6265,66.4009,31.7626,3.43366,9.28838
401,13.6827,-18.5998,66.2314,31.7094,3.33227,9.57773
402,13.7817,-18.3588,65.8962,31.7069,1.48905,12.1133
403,13.8617,-18.3702,65.8337,31.6688,-0.357804,14.5204
404,13.9869,-17.993,66.2182,31.9542,-0.277193,14.2597
405,14.5019,-17.7402,66.5326,31.9494,2.43277,9.3537
406,14.5788,-17.7365,66.746,31.9155,3.38979,7.38737
407,14.742,-18.1284,66.4948,31.3218,4.86785,3.90901
408,14.8735,-18.3221,66.4933,30.9796,5.89883,1.2421
409,14.6425,-18.5618,66.2308,30.2651,7.51176,-2.67921
410,14.688,-18.5809,65.9776,30.029,6.98997,-3.23995
411,14.5468,-18.3945,65.8237,29.6726,7.41505,-4.87124
412,14.3874,-18.5817,65.4581,28.7722,9.32887,-8.94338
413,14.5098,-18.7688,65.2242,28.3392,9.54469,-10.5495
414,14.2979,-18.9883,65.1748,28.0645,9.95055,-11.66
415,14.3019,-19.163,65.1532,27.6976,10.3732,-13.3184
